bet-id,status,event-id,event-name,market-id,market-name,runner-id,runner-name,sport-id,sport-name,odds,stake,profit,time-placed,reports-currentscores
7228,"finished",28530,"Sanfrecce Hiroshima vs Montedio Yamagata",338663,"Handicap (-1.0)",693024,"Sanfrecce Hiroshima (-1.00)",15,"Soccer",-101,200,198.02,"19/06/2015 09:52",
4926,"finished",25753,"Sevilla vs Villarreal",318690,"Handicap (-0.25)",654477,"Sevilla (-0.25)",15,"Soccer",-109,249.93,231.18,"18/03/2015 07:38",
6670,"finished",27653,"SJK vs KuPS",333095,"Total (2.0)",681658,"UNDER (+2.00)",15,"Soccer",-166,22,13.33,"11/05/2015 17:42","1 - 0",
6113,"finished",26187,"Sochaux-Montbéliard vs Créteil",322409,"Handicap (-0.5)",660933,"Creteil (+0.50)",15,"Soccer",111,30,33.54,"08/04/2015 14:57",
6115,"finished",26187,"Sochaux-Montbéliard vs Créteil",322404,"Total Goals (2.0)",660923,"UNDER (+2.00)",15,"Soccer",113,32.97,37.26,"08/04/2015 14:57",
6732,"finished",27699,"South Melbourne vs Dandenong Thunder",333550,"Handicap (-0.25)",682587,"South Melbourne (-0.25)",15,"Soccer",122,9.95,12.14,"12/05/2015 13:10","4 - 0",
6723,"finished",27699,"South Melbourne vs Dandenong Thunder",333493,"Handicap (-1.5)",682464,"South Melbourne (-1.50)",15,"Soccer",106,21.97,23.35,"12/05/2015 11:36","0 - 0",
6725,"finished",27699,"South Melbourne vs Dandenong Thunder",333529,"Total Goals (4.0)",682541,"UNDER (+4.00)",15,"Soccer",-132,21.97,16.7,"12/05/2015 11:48","1 - 0",
6736,"finished",27699,"South Melbourne vs Dandenong Thunder",333531,"Total Goals (4.5)",682544,"OVER (+4.50)",15,"Soccer",235,10,23.5,"12/05/2015 13:12","4 - 0",
6646,"finished",26770,"Torino vs Empoli",330824,"Handicap (-0.5)",677029,"Empoli (+0.50)",15,"Soccer",109,10,10.98,"06/05/2015 09:49",
6795,"finished",27698,"Utenis Utena vs Kruoja Pakruojis",333557,"Handicap (-0.25)",682601,"Utenis Utena (-0.25)",15,"Soccer",-106,9.99,9.43,"12/05/2015 16:37","0 - 0",
6793,"finished",27698,"Utenis Utena vs Kruoja Pakruojis",333557,"Handicap (-0.25)",682601,"Utenis Utena (-0.25)",15,"Soccer",-112,9.99,8.92,"12/05/2015 16:36","0 - 0",
6790,"finished",27698,"Utenis Utena vs Kruoja Pakruojis",333557,"Handicap (-0.25)",682601,"Utenis Utena (-0.25)",15,"Soccer",-112,9.99,8.92,"12/05/2015 16:36","0 - 0",
6787,"finished",27698,"Utenis Utena vs Kruoja Pakruojis",333557,"Handicap (-0.25)",682601,"Utenis Utena (-0.25)",15,"Soccer",-112,9.99,8.92,"12/05/2015 16:36","0 - 0",
6783,"finished",27698,"Utenis Utena vs Kruoja Pakruojis",333557,"Handicap (-0.25)",682601,"Utenis Utena (-0.25)",15,"Soccer",-112,9.99,8.92,"12/05/2015 16:36","0 - 0",
6778,"finished",27698,"Utenis Utena vs Kruoja Pakruojis",333557,"Handicap (-0.25)",682601,"Utenis Utena (-0.25)",15,"Soccer",-115,9.99,8.69,"12/05/2015 16:34","0 - 0",
6801,"finished",27698,"Utenis Utena vs Kruoja Pakruojis",333594,"Total Goals (1.25)",682675,"OVER (+1.25)",15,"Soccer",-112,9.97,8.91,"12/05/2015 16:39","0 - 0",
6799,"finished",27698,"Utenis Utena vs Kruoja Pakruojis",333594,"Total Goals (1.25)",682675,"OVER (+1.25)",15,"Soccer",-121,9.97,8.24,"12/05/2015 16:38","0 - 0",
6090,"finished",26225,"Vegalta Sendai vs Vissel Kobe",322573,"Handicap (-0.25)",661263,"Vissel Kobe (+0.25)",15,"Soccer",-122,14.97,12.28,"08/04/2015 11:21",
7236,"finished",28834,"VPS vs HIFK",339363,"Handicap (-0.5)",694524,"HIFK (+0.50)",15,"Soccer",-122,39.95,32.74,"24/06/2015 12:29",
